flag,current,run,epoch,loss,accuracy,precision,recall,f1,auc,epoch_duration,run_duration,lr,batch_size,shuffle,device,num_workers
feature_all,Train,1,1,0.751982,0.514682,0.512336,0.490478,0.489317,0.519986,3.188261,4.637379,0.01,50,False,cuda,1
feature_all,Train,1,2,0.712529,0.553018,0.555667,0.579858,0.556995,0.562658,1.888992,6.686287,0.01,50,False,cuda,1
feature_all,Train,1,3,0.674599,0.628874,0.617557,0.653799,0.629006,0.629801,1.869003,8.685221,0.01,50,False,cuda,1
feature_all,Train,1,4,0.669744,0.641109,0.638102,0.645621,0.633912,0.647955,1.908982,10.734128,0.01,50,False,cuda,1
feature_all,Test,1,1,0.728646,0.591255,0.605601,0.594846,0.593557,0.589787,1.749067,12.633114,0.01,50,False,cuda,1
feature_all,Train,1,5,0.65854,0.652529,0.641558,0.657416,0.644332,0.652194,1.908981,14.542095,0.01,50,False,cuda,1
feature_all,Train,1,6,0.641439,0.663132,0.644828,0.693927,0.662088,0.663017,1.918932,16.601017,0.01,50,False,cuda,1
feature_all,Train,1,7,0.600104,0.715334,0.708604,0.728854,0.710997,0.71853,1.938965,18.709869,0.01,50,False,cuda,1
feature_all,Train,1,8,0.546925,0.752039,0.744375,0.753707,0.745427,0.751417,1.928971,20.768771,0.01,50,False,cuda,1
feature_all,Test,1,2,0.787065,0.638783,0.650083,0.665901,0.657062,0.641433,1.709087,22.617784,0.01,50,False,cuda,1
feature_all,Train,1,9,0.538513,0.75367,0.737412,0.769004,0.749796,0.75604,1.859008,24.476792,0.01,50,False,cuda,1
feature_all,Train,1,10,0.498934,0.769168,0.766798,0.777908,0.765193,0.775814,1.848974,26.455735,0.01,50,False,cuda,1
feature_all,Train,1,11,0.45165,0.809135,0.797133,0.828766,0.806119,0.812598,1.859009,28.444675,0.01,50,False,cuda,1
feature_all,Train,1,12,0.365888,0.848287,0.82712,0.876048,0.846784,0.851164,1.858975,30.443608,0.01,50,False,cuda,1
feature_all,Test,1,3,0.711485,0.692015,0.697375,0.698063,0.695894,0.682936,1.709087,32.292619,0.01,50,False,cuda,1
feature_all,Train,1,13,0.333971,0.857259,0.85023,0.862178,0.851984,0.85685,1.878997,34.171617,0.01,50,False,cuda,1
feature_all,Train,1,14,0.322225,0.873573,0.861945,0.88021,0.86808,0.875061,1.849107,36.16065,0.01,50,False,cuda,1
feature_all,Train,1,15,0.312204,0.877651,0.853148,0.903951,0.875642,0.880029,1.859007,38.159488,0.01,50,False,cuda,1
feature_all,Train,1,16,0.238558,0.915171,0.906265,0.92316,0.913343,0.915764,1.918975,40.208395,0.01,50,False,cuda,1
feature_all,Test,1,4,0.706084,0.745247,0.740105,0.775057,0.755708,0.739032,1.729012,42.077397,0.01,50,False,cuda,1
feature_all,Train,1,17,0.213756,0.922512,0.915538,0.925277,0.91802,0.922917,1.869003,43.9464,0.01,50,False,cuda,1
feature_all,Train,1,18,0.207371,0.925775,0.917231,0.933283,0.923574,0.927409,1.849007,45.935367,0.01,50,False,cuda,1
feature_all,Train,1,19,0.183357,0.939641,0.936212,0.939795,0.936409,0.941222,1.839021,47.914285,0.01,50,False,cuda,1
feature_all,Train,1,20,0.141995,0.953507,0.946958,0.956951,0.95011,0.954242,1.849012,49.90322,0.01,50,False,cuda,1
feature_all,Test,1,5,0.918826,0.739544,0.701741,0.872961,0.776054,0.732768,1.739035,51.792212,0.01,50,False,cuda,1
feature_all,Train,2,1,0.767706,0.528548,0.535588,0.578373,0.538842,0.540349,1.809035,1.818705,0.01,100,False,cuda,1
feature_all,Train,2,2,0.691008,0.646819,0.625834,0.698207,0.656723,0.648102,1.772468,3.721105,0.01,100,False,cuda,1
feature_all,Train,2,3,0.672266,0.669657,0.663619,0.702077,0.678447,0.677343,1.749029,5.610095,0.01,100,False,cuda,1
feature_all,Train,2,4,0.628517,0.703915,0.688963,0.748989,0.713134,0.709757,1.76899,7.519075,0.01,100,False,cuda,1
feature_all,Test,2,1,0.73437,0.593156,0.612697,0.599004,0.602948,0.595546,1.70906,9.358093,0.01,50,False,cuda,1
feature_all,Train,2,5,0.605215,0.706362,0.70799,0.717108,0.705679,0.715267,1.749066,11.117154,0.01,100,False,cuda,1
feature_all,Train,2,6,0.569641,0.730016,0.733332,0.729852,0.726622,0.737471,1.768987,13.026136,0.01,100,False,cuda,1
feature_all,Train,2,7,0.60571,0.706362,0.70008,0.749915,0.719915,0.720599,1.759028,14.945112,0.01,100,False,cuda,1
feature_all,Train,2,8,0.586419,0.741436,0.746008,0.773395,0.752833,0.757828,1.798975,16.874083,0.01,100,False,cuda,1
feature_all,Test,2,2,0.693329,0.617871,0.615102,0.677394,0.642782,0.613657,1.709089,18.723095,0.01,50,False,cuda,1
feature_all,Train,2,9,0.535693,0.738173,0.717953,0.804631,0.754261,0.749168,1.769056,20.492151,0.01,100,False,cuda,1
feature_all,Train,2,10,0.475903,0.793638,0.784069,0.836859,0.804173,0.804434,1.799001,22.421122,0.01,100,False,cuda,1
feature_all,Train,2,11,0.406572,0.825449,0.834947,0.820108,0.823364,0.833302,1.769025,24.320111,0.01,100,False,cuda,1
feature_all,Train,2,12,0.373135,0.853997,0.848027,0.870075,0.856218,0.861799,1.758992,26.2091,0.01,100,False,cuda,1
feature_all,Test,2,3,0.785583,0.68251,0.67365,0.7753,0.719248,0.685115,1.709051,28.048147,0.01,50,False,cuda,1
feature_all,Train,2,13,0.327521,0.866232,0.856413,0.88883,0.870173,0.875609,1.739042,29.78719,0.01,100,False,cuda,1
feature_all,Train,2,14,0.299262,0.882545,0.869921,0.909248,0.885362,0.889407,1.789085,31.70623,0.01,100,False,cuda,1
feature_all,Train,2,15,0.220938,0.914356,0.901515,0.93184,0.914981,0.919055,1.789018,33.615147,0.01,100,False,cuda,1
feature_all,Train,2,16,0.220893,0.916803,0.911914,0.929495,0.918796,0.924199,1.749003,35.50414,0.01,100,False,cuda,1
feature_all,Test,2,4,0.764588,0.741445,0.738252,0.775349,0.755491,0.740803,1.709087,37.343157,0.01,50,False,cuda,1
feature_all,Train,2,17,0.201001,0.930669,0.91898,0.94538,0.930432,0.931623,1.759062,39.102219,0.01,100,False,cuda,1
feature_all,Train,2,18,0.224586,0.921697,0.920621,0.928121,0.921604,0.924984,1.749028,40.981215,0.01,100,False,cuda,1
feature_all,Train,2,19,0.109931,0.960033,0.950019,0.973682,0.961336,0.962762,1.758996,42.870207,0.01,100,False,cuda,1
feature_all,Train,2,20,0.060824,0.980424,0.979531,0.984287,0.981737,0.980952,1.769094,44.759275,0.01,100,False,cuda,1
