flag,current,run,epoch,loss,accuracy,precision,recall,f1,auc,epoch_duration,run_duration,lr,batch_size,shuffle,device,num_workers
ALL,Train,1,1,0.757457,0.508157,0.485102,0.441973,0.455233,0.507885,3.202588,5.704268,0.01,50,False,cuda,1
ALL,Train,1,2,0.706062,0.582382,0.583367,0.59112,0.580524,0.583369,2.095375,8.002136,0.01,50,False,cuda,1
ALL,Train,1,3,0.71986,0.596248,0.592839,0.611434,0.594307,0.596213,2.204101,10.364835,0.01,50,False,cuda,1
ALL,Train,1,4,0.696461,0.595432,0.60273,0.634838,0.601131,0.601162,2.040519,12.559937,0.01,50,False,cuda,1
ALL,Test,1,1,0.738799,0.579848,0.565946,0.721358,0.6315,0.581742,1.885023,14.596628,0.01,50,False,cuda,1
ALL,Train,1,5,0.684483,0.632137,0.651484,0.601073,0.616704,0.634987,2.09483,16.692456,0.01,50,False,cuda,1
ALL,Train,1,6,0.599001,0.711256,0.685812,0.779858,0.72556,0.710639,2.103337,18.95039,0.01,50,False,cuda,1
ALL,Train,1,7,0.560812,0.73491,0.730791,0.745817,0.731165,0.733081,1.997593,21.102635,0.01,50,False,cuda,1
ALL,Train,1,8,0.524681,0.761011,0.745906,0.802982,0.76853,0.763917,1.992637,23.281807,0.01,50,False,cuda,1
ALL,Test,1,2,0.662801,0.701521,0.684447,0.746104,0.711704,0.699989,1.883963,25.326341,0.01,50,False,cuda,1
ALL,Train,2,1,0.815103,0.50571,0.493798,0.514198,0.496986,0.496661,2.252001,2.256988,0.01,100,False,cuda,1
ALL,Train,2,2,0.767406,0.515498,0.500429,0.526734,0.504689,0.509433,1.94381,4.482048,0.01,100,False,cuda,1
ALL,Train,2,3,0.77796,0.525285,0.49973,0.595817,0.537502,0.519729,1.919902,6.612352,0.01,100,False,cuda,1
ALL,Train,2,4,0.752189,0.476346,0.464638,0.406688,0.428878,0.475251,1.945759,8.737633,0.01,100,False,cuda,1
ALL,Test,2,1,0.736015,0.496198,0.51268,0.38148,0.430421,0.504388,2.139305,11.053509,0.01,50,False,cuda,1
ALL,Train,2,5,0.739643,0.535073,0.537393,0.525053,0.524825,0.540027,1.972771,13.028274,0.01,100,False,cuda,1
ALL,Train,2,6,0.715189,0.602773,0.589311,0.634317,0.607944,0.599232,1.906901,15.115666,0.01,100,False,cuda,1
ALL,Train,2,7,0.657796,0.67292,0.660211,0.703143,0.677041,0.675714,1.920902,17.212099,0.01,100,False,cuda,1
ALL,Train,2,8,0.590084,0.730016,0.720009,0.777698,0.742804,0.738981,1.91092,19.324482,0.01,100,False,cuda,1
ALL,Test,2,2,0.710432,0.652091,0.6374,0.680424,0.655894,0.648644,1.954737,21.475699,0.01,50,False,cuda,1
ALL,Train,3,1,0.694787,0.574225,0.575931,0.606512,0.584438,0.578071,2.068469,2.073455,0.001,50,False,cuda,1
ALL,Train,3,2,0.623954,0.668026,0.662006,0.707956,0.678714,0.675359,1.997664,4.225734,0.001,50,False,cuda,1
ALL,Train,3,3,0.559067,0.729201,0.721058,0.768341,0.736138,0.738999,1.996637,6.401915,0.001,50,False,cuda,1
ALL,Train,3,4,0.487059,0.785481,0.784188,0.811669,0.79249,0.794838,2.078443,8.631952,0.001,50,False,cuda,1
ALL,Test,3,1,0.651147,0.692015,0.692668,0.692627,0.690232,0.690527,1.85008,10.629637,0.001,50,False,cuda,1
ALL,Train,3,5,0.378391,0.857259,0.837236,0.884108,0.857022,0.857115,2.018603,12.649211,0.001,50,False,cuda,1
ALL,Train,3,6,0.297306,0.896411,0.888078,0.91163,0.897702,0.898457,2.032565,14.834367,0.001,50,False,cuda,1
ALL,Train,3,7,0.247245,0.905383,0.908391,0.908279,0.906428,0.907849,2.005637,17.032534,0.001,50,False,cuda,1
ALL,Train,3,8,0.236883,0.914356,0.913984,0.922357,0.916205,0.918358,2.003642,19.222067,0.001,50,False,cuda,1
ALL,Test,3,2,0.695634,0.750951,0.749721,0.76016,0.751172,0.751524,1.852049,21.230697,0.001,50,False,cuda,1
ALL,Train,4,1,0.722782,0.555465,0.555799,0.661206,0.598499,0.566306,1.934826,1.938816,0.001,100,False,cuda,1
ALL,Train,4,2,0.643341,0.67863,0.688407,0.692079,0.685346,0.69078,1.91088,3.998336,0.001,100,False,cuda,1
ALL,Train,4,3,0.566413,0.728385,0.72871,0.765934,0.743368,0.741982,1.928839,6.144963,0.001,100,False,cuda,1
ALL,Train,4,4,0.461099,0.785481,0.791207,0.805781,0.79584,0.797795,1.910846,8.202461,0.001,100,False,cuda,1
ALL,Test,4,1,0.604011,0.701521,0.697636,0.707951,0.698798,0.698092,1.917872,10.269933,0.001,50,False,cuda,1
ALL,Train,4,5,0.395183,0.828711,0.820528,0.854732,0.832443,0.834485,1.930863,12.201793,0.001,100,False,cuda,1
ALL,Train,4,6,0.3438,0.850734,0.857856,0.857286,0.855397,0.85821,1.903888,14.252299,0.001,100,False,cuda,1
ALL,Train,4,7,0.341625,0.865416,0.859243,0.892994,0.87401,0.872412,1.974746,16.374636,0.001,100,False,cuda,1
ALL,Train,4,8,0.306875,0.871941,0.891291,0.872551,0.876278,0.879463,1.993604,18.521868,0.001,100,False,cuda,1
ALL,Test,4,2,0.554679,0.781369,0.738241,0.899962,0.808206,0.78722,1.96279,20.640241,0.001,50,False,cuda,1
