current,run,epoch,loss,accuracy,precision,recall,f1,auc,epoch_duration,run_duration,lr,batch_size,shuffle,device,num_workers
Train,1,1,0.7666511379097258,0.4910277324632953,0.47458667890970124,0.4616583987723925,0.4625288448461567,0.4908084447919506,1.8346529006958008,1.8376355171203613,0.01,50,False,cuda,1
Train,1,2,0.7331805871905939,0.5065252854812398,0.5143145566056626,0.5251649937953858,0.5159850948087731,0.507766306045248,0.7918453216552734,2.8529205322265625,0.01,50,False,cuda,1
Train,1,3,0.7233119954098302,0.5456769983686787,0.5574264669855572,0.5552690935154279,0.5498757140787844,0.5456585699459111,0.7320249080657959,3.790414571762085,0.01,50,False,cuda,1
Train,1,4,0.6917736780196185,0.5954323001631321,0.5946227722410998,0.6596269084936968,0.619634034885648,0.5978169514308651,0.7320077419281006,4.713946342468262,0.01,50,False,cuda,1
Train,1,5,0.6577351985903394,0.6533442088091354,0.649966125895656,0.6945320564109139,0.6667043614010111,0.6582277459739311,0.7260675430297852,5.6295130252838135,0.01,50,False,cuda,1
Test,1,1,0.7471184370182313,0.6197718631178707,0.6081402628083832,0.6300668311340248,0.6154616237893873,0.6213064817264422,0.572439432144165,6.402433156967163,,50,False,cuda,1
Train,1,6,0.5977863819622488,0.7063621533442088,0.7047684436316924,0.7274235678956777,0.7120072562121328,0.7105932337478709,0.7300293445587158,7.197308301925659,0.01,50,False,cuda,1
Train,1,7,0.5609908364530878,0.7414355628058727,0.7329901299045227,0.778224010571149,0.7504529782047268,0.747443856336397,0.7250618934631348,8.122834920883179,0.01,50,False,cuda,1
Train,1,8,0.5308993488890507,0.7528548123980424,0.7524082094641362,0.773873070187458,0.7585313718153587,0.7582200246518763,0.7540233135223389,9.063395738601685,0.01,50,False,cuda,1
Train,1,9,0.4917687069484888,0.7887438825448614,0.796050954265347,0.7921714304017833,0.7904473078506552,0.7958556260207188,0.7579655647277832,10.025804281234741,0.01,50,False,cuda,1
Train,1,10,0.4425880552359156,0.8221859706362153,0.8129515399358317,0.8490088120084296,0.82598558588518,0.8275432429344636,0.7898542881011963,11.002194166183472,0.01,50,False,cuda,1
Test,1,2,0.6722061268050408,0.6653992395437263,0.6315285296246019,0.7472103171312656,0.6834393360754473,0.6648524172906584,0.5974690914154053,11.799130201339722,,50,False,cuda,1
Train,2,1,0.8301852334770837,0.47797716150081565,0.48411819296099534,0.5086313440180468,0.48767984036455264,0.4720371490097767,0.6542742252349854,0.6792075634002686,0.01,100,False,cuda,1
Train,2,2,0.7405697278447486,0.531810766721044,0.5487113015484355,0.550981220830651,0.545134574951174,0.536965917106271,0.6183629035949707,1.5020017623901367,0.01,100,False,cuda,1
Train,2,3,0.7084773181896614,0.598694942903752,0.604837824517241,0.6211853989106318,0.6083016339537612,0.5969342960881184,0.6473414897918701,2.3428103923797607,0.01,100,False,cuda,1
Train,2,4,0.7011266069738938,0.6264274061990212,0.6400419011102694,0.6412767678802029,0.6319200811693584,0.6281603131126585,0.6213169097900391,3.167560577392578,0.01,100,False,cuda,1
Train,2,5,0.6213860838487136,0.6867862969004894,0.680345992196364,0.7809554460696755,0.7217974513669163,0.6993136450971998,0.6821768283843994,4.046185255050659,0.01,100,False,cuda,1
Test,2,1,0.7618329824150288,0.6007604562737643,0.5973456633064557,0.5234522350727885,0.5558924863513497,0.5937908370541769,0.6662378311157227,4.942806959152222,,50,False,cuda,1
Train,2,6,0.5978671994917155,0.7128874388254486,0.7173311060285619,0.7662713877360677,0.7377933043930752,0.7293851645036413,0.7260622978210449,5.7346978187561035,0.01,100,False,cuda,1
Train,2,7,0.49288862219253526,0.7748776508972267,0.7816197690594351,0.7967431810005435,0.7871777645329545,0.7869129519482188,0.7021627426147461,6.630352020263672,0.01,100,False,cuda,1
Train,2,8,0.4034449126067014,0.8401305057096248,0.8362103091298603,0.8705117009688037,0.8488092751573861,0.8480863844208872,0.6915419101715088,7.5235724449157715,0.01,100,False,cuda,1
Train,2,9,0.39783160021410097,0.8409461663947798,0.8267210465074164,0.88951583057638,0.8553419122593724,0.8510847776356953,0.7320389747619629,8.498964548110962,0.01,100,False,cuda,1
Train,2,10,0.28928565150081237,0.8931484502446982,0.8922083960699628,0.9051645275817711,0.8968302777691035,0.8968602135560807,0.6751959323883057,9.40155291557312,0.01,100,False,cuda,1
Test,2,2,0.7847745948871279,0.7034220532319392,0.6951795271506108,0.6830286606966448,0.6854375327867941,0.7006933796879449,0.6103389263153076,10.294166564941406,,50,False,cuda,1
Train,3,1,0.6926339368835748,0.5497553017944535,0.548806259657384,0.4794391769740835,0.49899750002351206,0.5578968466420047,0.7430803775787354,0.7480666637420654,0.001,50,False,cuda,1
Train,3,2,0.6111380496771845,0.6737357259380098,0.671571167983677,0.7281710796553916,0.6935684768577569,0.6797212058479293,0.8207943439483643,1.7952299118041992,0.001,50,False,cuda,1
Train,3,3,0.5135757815196114,0.7585644371941273,0.7509565234204785,0.7953054380494774,0.7683509527250065,0.764775162305048,0.7949633598327637,2.789630889892578,0.001,50,False,cuda,1
Train,3,4,0.39774785866599294,0.8360522022838499,0.8286103152792522,0.860385369198315,0.8408043079028457,0.8400608776728516,0.7151134014129639,3.691192865371704,0.001,50,False,cuda,1
Train,3,5,0.2888170619408614,0.8841761827079935,0.8667448365895433,0.915156234168437,0.8883971426230538,0.8878958672238797,0.7679581642150879,4.66956353187561,0.001,50,False,cuda,1
Test,3,1,0.668097876663897,0.7775665399239544,0.739462737410814,0.8320393528298666,0.7791982267575577,0.7740186086604072,0.588416337966919,5.452454090118408,,50,False,cuda,1
Train,3,6,0.22961953457378056,0.9257748776508973,0.9228216221753701,0.9315768261812332,0.9256895883120513,0.9286514860157317,0.738074779510498,6.259329795837402,0.001,50,False,cuda,1
Train,3,7,0.19622202385308107,0.9363784665579119,0.9286442255415356,0.9479474903482487,0.9370950646541598,0.9384652171662782,0.7579739093780518,7.212757587432861,0.001,50,False,cuda,1
Train,3,8,0.1601421687490691,0.9404567699836868,0.9341455833777583,0.949921693961283,0.9403297519974175,0.9417286037783228,0.8408176898956299,8.264973402023315,0.001,50,False,cuda,1
Train,3,9,0.1888262403469539,0.9363784665579119,0.9375356276573668,0.9410391998445222,0.9381693699504524,0.9391372284873555,0.7101705074310303,9.167563676834106,0.001,50,False,cuda,1
Train,3,10,0.21450047823334595,0.9241435562805873,0.9164844169343508,0.9384627670766271,0.9258801738438003,0.925604703522439,0.7752780914306641,10.139915704727173,0.001,50,False,cuda,1
Test,3,2,0.7515403084428591,0.7509505703422054,0.701710049443895,0.8371459531538583,0.7619078128001152,0.7509759292639728,0.5705051422119141,10.921825885772705,,50,False,cuda,1
Train,4,1,0.7275480236159257,0.5277324632952691,0.5447927340913907,0.6940103439433444,0.6031240385517821,0.5391457691561844,0.6502618789672852,0.654252290725708,0.001,100,False,cuda,1
Train,4,2,0.6467096568320743,0.6443719412724307,0.6544022565832421,0.6884158554477081,0.6682785958375752,0.6568295895934635,0.6568944454193115,1.515604019165039,0.001,100,False,cuda,1
Train,4,3,0.5612986973603826,0.7259380097879282,0.7253590959738223,0.7808439300116203,0.7492683693515182,0.7404709251995392,0.6804599761962891,2.419196367263794,0.001,100,False,cuda,1
Train,4,4,0.46667782969614807,0.8001631321370309,0.7936354633774167,0.8399582362027964,0.8147753864290552,0.8105752530274188,0.6243689060211182,3.2499539852142334,0.001,100,False,cuda,1
Train,4,5,0.38001935193725356,0.8482871125611745,0.8450629587226367,0.8745416113251341,0.8582163237148985,0.8575756389056308,0.7400429248809814,4.19441294670105,0.001,100,False,cuda,1
Test,4,1,0.8200788452598079,0.6501901140684411,0.6369763767194597,0.6588477311006955,0.6443268120539927,0.6528918291121848,0.5973718166351318,4.998246192932129,,50,False,cuda,1
Train,4,6,0.3193000185669538,0.8849918433931484,0.8835426427685029,0.9036336046495516,0.8916826935565465,0.8920655110332851,0.6416072845458984,5.714650392532349,0.001,100,False,cuda,1
Train,4,7,0.301650854444426,0.8923327895595432,0.8861294227423385,0.9159346189129001,0.8993872586217968,0.899195260852935,0.6742312908172607,6.604875564575195,0.001,100,False,cuda,1
Train,4,8,0.3453735523472797,0.867862969004894,0.8700978915010921,0.8822287683107428,0.8741549225488208,0.8741193272663443,0.6423788070678711,7.475609064102173,0.001,100,False,cuda,1
Train,4,9,0.2958218896758498,0.8686786296900489,0.8720303393137832,0.8769403874318739,0.8737745995881,0.87330190317695,0.6622469425201416,8.343273162841797,0.001,100,False,cuda,1
Train,4,10,0.2583298646825173,0.8931484502446982,0.8903997571037794,0.9154320650316911,0.9011550612182107,0.9011029508055162,0.6353447437286377,9.195985794067383,0.001,100,False,cuda,1
Test,4,2,0.7759724053139923,0.7338403041825095,0.7203340381696658,0.7576998276207761,0.7310546412350437,0.7375630830522134,0.582489013671875,9.983954191207886,,50,False,cuda,1
